Member_ID,Seasonal_Pass,Purchase_Count,Total_Spent,Avg_Purchase,Games_Attended,Age_Group,Region
10000000,False,2,177,88.5,5,41-60,Domestic
10000001,False,1,75,75.0,6,18-25,Domestic
10000002,False,1,50,50.0,5,41-60,Domestic
10000003,False,2,115,57.5,2,18-25,Domestic
10000004,False,2,115,57.5,8,18-25,International
10000005,False,2,227,113.5,2,18-25,Domestic
10000006,False,1,20,20.0,7,60+,Domestic
10000007,False,2,100,50.0,7,18-25,International
10000008,False,2,150,75.0,5,26-40,Domestic
10000009,False,2,125,62.5,8,26-40,Domestic
10000010,False,1,75,75.0,3,41-60,Domestic
10000011,False,2,202,101.0,2,60+,Domestic
10000012,False,1,75,75.0,2,41-60,Domestic
10000013,False,1,25,25.0,2,18-25,Domestic
10000014,False,2,227,113.5,5,60+,Domestic
10000015,False,1,25,25.0,8,18-25,Domestic
10000016,True,2,110,55.0,27,26-40,Domestic
10000017,False,1,75,75.0,1,<18,International
10000018,True,2,55,27.5,26,18-25,Domestic
10000019,False,1,152,152.0,8,26-40,Domestic
10000020,False,1,40,40.0,4,18-25,Domestic
10000021,False,2,125,62.5,5,<18,Domestic
10000022,False,2,110,55.0,8,26-40,Domestic
10000023,False,1,25,25.0,8,41-60,Domestic
10000024,False,2,75,37.5,2,26-40,Domestic
10000025,False,2,227,113.5,7,26-40,Domestic
10000026,False,2,90,45.0,6,18-25,Domestic
10000027,False,1,90,90.0,3,18-25,Domestic
10000028,False,2,45,22.5,1,18-25,Domestic
10000029,True,2,55,27.5,17,18-25,Domestic
10000030,False,2,90,45.0,2,41-60,Domestic
10000031,False,2,125,62.5,5,26-40,Domestic
10000032,False,2,125,62.5,4,41-60,Domestic
10000033,False,2,187,93.5,3,18-25,Domestic
10000034,False,2,75,37.5,8,26-40,Domestic
10000035,False,1,20,20.0,5,18-25,Domestic
10000036,False,2,227,113.5,5,41-60,International
10000037,False,2,60,30.0,4,26-40,Domestic
10000038,False,1,40,40.0,7,<18,Domestic
10000039,True,1,75,75.0,24,18-25,Domestic
10000040,False,1,75,75.0,8,26-40,Domestic
10000041,False,1,50,50.0,8,18-25,International
10000042,False,2,110,55.0,8,18-25,Domestic
10000043,False,2,177,88.5,1,26-40,Domestic
10000044,True,2,227,113.5,20,18-25,Domestic
10000045,False,2,177,88.5,3,26-40,International
10000046,False,1,75,75.0,1,41-60,Domestic
10000047,False,2,65,32.5,8,41-60,Domestic
10000048,False,2,150,75.0,8,26-40,International
